carpark_number,latitude,longitude,area
BL20,1.3480982543721136,103.70817527684127,Jurong West
BL21,1.3492568430818903,103.70937375465292,Jurong West
BL22,1.3425435059718924,103.71374987824365,Jurong West
BL23,1.349560588526671,103.7115798120472,Jurong West
BL24,1.341157056555126,103.71017592127583,Jurong West
BL3,1.3468747076130891,103.70923455522797,Jurong West
BL8,1.3454251335374907,103.71339091636744,Jurong West
BL8L,1.346224586311344,103.71206380535853,Jurong West
BL9,1.345870870486764,103.71071997502996,Jurong West
BMVM,1.2846262894692324,103.82312918959744,Bukit Merah
BM1,1.2863026958403303,103.80957147714516,Bukit Merah
BM10,1.288095999047967,103.8140698170696,Bukit Merah
BM12,1.2876720320682562,103.81327487237816,Bukit Merah
BM13,1.2868982043967914,103.8121918066441,Bukit Merah
BM14,1.2890407366150354,103.80884793932924,Bukit Merah
BM19,1.2857124480254345,103.81870264853308,Bukit Merah
BM2,1.2868507679834986,103.80995307226117,Bukit Merah
BM20,1.2852472955170589,103.81876020804592,Bukit Merah
BM26,1.287291542584285,103.80742676873176,Bukit Merah
BM27,1.284059569899441,103.8147829578236,Bukit Merah
BM28,1.283999331207603,103.81582316670986,Bukit Merah
BM29,1.2836347060925148,103.8170992125994,Bukit Merah
BM3,1.2877077662690248,103.81152776946884,Bukit Merah
BM30,1.28323433325652,103.81673344232468,Bukit Merah
BM31,1.2824491300655394,103.81657502600684,Bukit Merah
BM33,1.2827478727093369,103.8186510524157,Bukit Merah
BM36,1.282805821517796,103.81785799712053,Bukit Merah
BM4,1.287667284248734,103.80895514473973,Bukit Merah
BM5,1.288431556063426,103.80761950142184,Bukit Merah
BM6,1.2895333905500683,103.81376449901636,Bukit Merah
BM9,1.289097998572853,103.81435801840551,Bukit Merah
BP1,1.2727949460019137,103.82487004638574,Bukit Merah
BP2,1.274091691271079,103.82700432828145,Bukit Merah
BRBL,1.3065968942240511,103.8507074910028,Kallang
BRB1,1.306066749235351,103.85058597863122,Kallang
BRM,1.3207472024589326,103.86617287009,Kallang
BRM1,1.3264854877042744,103.85672896311362,Toa Payoh
BRM2,1.325974060292105,103.85768389140549,Toa Payoh
BRM3,1.3215277953752598,103.85465630079302,Kallang
BRM4,1.32273032442989,103.85607403368186,Toa Payoh
BRM5,1.327517448949482,103.859430626855,Toa Payoh
BRM6,1.3277831137966836,103.86119338936604,Toa Payoh
BRM7,1.3243738973722452,103.855402032964,Toa Payoh
BR10,1.3230185394991725,103.85450430527489,Toa Payoh
BR11,1.32626183868431,103.85896437723326,Toa Payoh
BR12,1.3272150796002635,103.85771827055758,Toa Payoh
BR14,1.325955650724791,103.85998347830004,Toa Payoh
BR18,1.3262698248738702,103.8557497426465,Toa Payoh
BR21,1.327259362316204,103.85664071614076,Toa Payoh
BR22,1.32834641915005,103.85759288738568,Toa Payoh
BR4,1.3235772596397843,103.8554213780634,Toa Payoh
BR5,1.324908970644259,103.85819063929866,Toa Payoh
BR6,1.3230388252880447,103.85353576307052,Toa Payoh
BR8,1.3251600110203334,103.85455834180875,Toa Payoh
BR9,1.3189625696233347,103.8507430871221,Kallang
BTM,1.2867839238665058,103.8332897478355,City
BTM2,1.286963082194043,103.82964101237133,Bukit Merah
BTM3,1.2863112198549294,103.82869825504925,Bukit Merah
BVM2,1.283492802887912,103.8233756624964,Bukit Merah
BWM,1.2869280256342557,103.80670138529172,Bukit Merah
B10,1.3290283308949449,103.93370774408996,Bedok
B10M,1.3292101478885272,103.93252399987296,Bedok
B11,1.32834200532456,103.93039617992274,Bedok
B12,1.3275983686830186,103.92787851961256,Bedok
B13,1.3296532168537087,103.929763771966,Bedok
B14,1.3291590929262411,103.93144509494518,Bedok
B16,1.3235011178756269,103.9405594919242,Bedok
B17,1.324217738006363,103.94185716126566,Bedok
B19,1.321924546005149,103.94096096793416,Bedok
B20,1.319799714480269,103.94342037708827,Bedok
B21,1.3281779629096138,103.94104648719065,Tampines
B23L,1.330443473364623,103.93980899840454,Tampines
B23M,1.3306877578836185,103.94064337056808,Tampines
B24,1.3326471603070125,103.93829462226208,Tampines
B24A,1.3312631032232785,103.93961602850972,Tampines
B25,1.3329691187717014,103.94049034285004,Tampines
B26,1.334307986772906,103.94034058725477,Tampines
B27,1.3341177469892762,103.93803813520908,Tampines
B28,1.3325447895324392,103.93557107829272,Tampines
B30,1.329942834656957,103.93875343367434,Tampines
B31,1.328501234196721,103.93885019978502,Bedok
B32,1.3274106694551375,103.93675747950408,Bedok
B33,1.327240858402427,103.93580016456131,Bedok
B34,1.3283122943595511,103.9356734308385,Bedok
B35,1.329058097203989,103.93517620266309,Bedok
B40,1.3325499476387692,103.93277014516458,Bedok
B41,1.332554918020816,103.93149286604525,Bedok
B42,1.3324517913824268,103.9308211568239,Bedok
B43,1.331105186543512,103.92760339777313,Bedok
B44,1.3339712514435162,103.9275087746718,Bedok
B44A,1.3344153931770537,103.92985412808513,Bedok
B44B,1.3323014049396815,103.92291100535586,Bedok
B45,1.3316799840249027,103.92542899880024,Bedok
B46,1.3313212244017472,103.92418195189384,Bedok
B47,1.3308959153267648,103.92224783902348,Bedok
B48,1.3300959277312168,103.9234212284378,Bedok
B48B,1.3299669382159505,103.92575881889952,Bedok
B49,1.332185766541842,103.92666820717146,Bedok
B50,1.3304470907251158,103.9130665612684,Bedok
B50A,1.331512577577529,103.91273516961238,Bedok
B50B,1.3316370821543295,103.91195250661836,Bedok
B51,1.3321465000881845,103.91639624241292,Bedok
B52,1.3339091800300191,103.91789418745978,Bedok
B53,1.3342514890920436,103.91517723527454,Bedok
B54,1.3333637440670496,103.91520373671187,Bedok
B57,1.3358433944930426,103.91901927098642,Bedok
B59,1.3375088707086673,103.9259610240537,Bedok
B6,1.3263304964828269,103.93033953937258,Bedok
B6M,1.3251732958769262,103.9308867461722,Bedok
B6T,1.3237167011755613,103.93256356632538,Bedok
B60,1.3372324410644003,103.92905669849968,Tampines
B63,1.3381537269767971,103.9226164633439,Bedok
B65,1.3200329104338988,103.94565928752264,Bedok
B65L,1.3182340844394127,103.9476194524166,Bedok
B65M,1.3178894383908413,103.94633242793388,Bedok
B66,1.3305481548727427,103.90433956320577,Bedok
B67,1.332015772086148,103.90639475945368,Bedok
B68,1.3225048596874,103.936922029979,Bedok
B69,1.3334261836375565,103.94197073619338,Tampines
B7,1.3251312397332438,103.93192173162542,Bedok
B7A,1.3271316923454235,103.93403695950887,Bedok
B7B,1.3265215017534235,103.93484000406836,Bedok
B70,1.3262898453461394,103.9279955190616,Bedok
B71,1.3242938891077924,103.92430036898207,Bedok
B72,1.3343770595975393,103.90738977380684,Bedok
B73,1.332492267852266,103.90696724615144,Bedok
B74,1.3328468531231157,103.90905526271848,Bedok
B75,1.3330705484619232,103.91760166991922,Bedok
B76,1.3358995643003466,103.9344189574035,Tampines
B77,1.3356910123179662,103.93633367546306,Tampines
B78,1.3356088847994083,103.93838375965672,Tampines
B79,1.3367761554500246,103.93740660996866,Tampines
B8,1.3258814963794496,103.92827623307636,Bedok
B8B,1.3247921201815396,103.92794673996777,Bedok
B80,1.3382683050605606,103.92336060080356,Bedok
B81,1.323211123984771,103.93494255225318,Bedok
B82,1.33386404129158,103.93041487733402,Bedok
B83,1.3264690135495176,103.9222712947318,Bedok
B84,1.3262261095143135,103.9342047573154,Bedok
B85,1.3260802458197982,103.94135784200338,Bedok
B86,1.3307672180997376,103.93569124962644,Bedok
B87,1.3205406737790863,103.93619734820132,Bedok
B88,1.3222730385459691,103.93829861018796,Bedok
B89,1.330959178889198,103.93726546144408,Tampines
B9,1.3301727085826516,103.933815179244,Bedok
B90,1.3225376305100751,103.93963512682488,Bedok
B91,1.3327973239279634,103.91425233336754,Bedok
B92,1.3216973941844925,103.93393509513557,Bedok
B93,1.3204217908689766,103.93417561555682,Bedok
B94,1.3322601658153184,103.92935743869732,Bedok
B94A,1.3313036277380637,103.929179189478,Bedok
B95,1.3255129802698578,103.9350827294625,Bedok
B96,1.324966290346567,103.93295160832348,Bedok
B97,1.3361557898964052,103.9235080785556,Bedok
B98,1.3360794194920411,103.92191686098975,Bedok
B99M,1.327488075073335,103.9227613439323,Bedok
CAM,1.3018210574313145,103.79820565809362,Tanglin
CCM,1.3036608788452526,103.7997973262445,Tanglin
CC1,1.326621270658444,103.92291142962756,Bedok
CC10,1.3286857316147194,103.92557681585416,Bedok
CC11,1.3290958607447765,103.92163403144193,Bedok
CC12,1.3267660935698495,103.92492554687288,Bedok
CC4,1.325761538242788,103.9213875307924,Bedok
CC5,1.324822461139102,103.92340067458152,Bedok
CC6,1.3235138140220364,103.92356461224108,Bedok
CC7,1.3252462054528311,103.9256873497185,Bedok
CC8,1.3268954882424244,103.91944117263655,Bedok
CC9,1.327720116199672,103.92599509455664,Bedok
CDM,1.3016364093624146,103.79679138790354,Queenstown
CKK1,1.3834995640239691,103.74412537483316,Choa Chu Kang
CKM1,1.3835963556122968,103.74082478082032,Choa Chu Kang
CKM2,1.3983848378100443,103.74674494946991,Sungei Kadut
CKM3,1.3811874180931392,103.73664153064142,Choa Chu Kang
CKM4,1.3786379456153686,103.73792965982472,Choa Chu Kang
CKM5,1.3793103007570044,103.73569574377154,Choa Chu Kang
CKM6,1.3775354147340333,103.73574760435864,Choa Chu Kang
CKM7,1.3759735599231635,103.73707093730016,Choa Chu Kang
CKM8,1.375049975218811,103.73836209061987,Choa Chu Kang
CKM9,1.377365191602345,103.74329658894578,Choa Chu Kang
CKT1,1.380315085920986,103.7385843858947,Choa Chu Kang
CKT2,1.3856135812488544,103.74333625964935,Choa Chu Kang
CK1,1.3774743473121396,103.75396651904369,Choa Chu Kang
CK10,1.3805047532205277,103.74543486598328,Choa Chu Kang
CK11,1.3787338234756656,103.74186894657883,Choa Chu Kang
CK12,1.3812861166246817,103.74181570834445,Choa Chu Kang
CK13,1.3829167235416275,103.74204059676536,Choa Chu Kang
CK14,1.3801473409462486,103.7425446222554,Choa Chu Kang
CK15,1.378426209706327,103.74091199127932,Choa Chu Kang
CK16,1.3796289105733537,103.73922107254177,Choa Chu Kang
CK17,1.3820730449414027,103.74069102239277,Choa Chu Kang
CK18,1.380998422608684,103.75062314406662,Choa Chu Kang
CK19,1.3804828191297849,103.7513306473733,Choa Chu Kang
CK2,1.3792527806804948,103.7513716518421,Choa Chu Kang
CK20,1.3833829647486346,103.74013365429586,Choa Chu Kang
CK22,1.3838438770093553,103.74594296799194,Choa Chu Kang
CK23,1.3841443511993503,103.74150685405392,Choa Chu Kang
CK24,1.383326163012076,103.74330985413629,Choa Chu Kang
CK25,1.3822899983079189,103.74374379564632,Choa Chu Kang
CK26,1.3846237901647596,103.74295584042666,Choa Chu Kang
CK28,1.3800848001568025,103.74417169247351,Choa Chu Kang
CK29,1.3797457123370551,103.74411077646042,Choa Chu Kang
CK3,1.3786059243998008,103.75006247869928,Choa Chu Kang
CK3A,1.379492530303263,103.7499803416757,Choa Chu Kang
C20,1.3133478208276774,103.76526174661916,Clementi
CK30,1.3790288766966745,103.74538107497938,Choa Chu Kang
CK31,1.3787502331490462,103.74493840789494,Choa Chu Kang
CK32,1.3773947750358455,103.74396269033326,Choa Chu Kang
CK33,1.3886976858792568,103.74295135477573,Choa Chu Kang
CK34,1.38857724580347,103.7410970484225,Choa Chu Kang
CK35,1.3903269693827969,103.74239727614687,Choa Chu Kang
CK36,1.3922859022308849,103.74108732653968,Choa Chu Kang
CK37,1.3940529952860885,103.74222984775592,Choa Chu Kang
